ingredient,predicate,disease,pmid,year,pubmed_url,title
refined grain,risk_factor_for,coronary heart disease,36789934,2023,https://pubmed.ncbi.nlm.nih.gov/36789934/,consumption of whole grains and refined grains and associated risk of cardiovascular disease events and all-cause mortality: a systematic review and dose-response meta-analysis of prospective cohort studies.
refined grain,risk_factor_for,stroke,36789934,2023,https://pubmed.ncbi.nlm.nih.gov/36789934/,consumption of whole grains and refined grains and associated risk of cardiovascular disease events and all-cause mortality: a systematic review and dose-response meta-analysis of prospective cohort studies.
refined grain,risk_factor_for,cardiovascular disease,36789934,2023,https://pubmed.ncbi.nlm.nih.gov/36789934/,consumption of whole grains and refined grains and associated risk of cardiovascular disease events and all-cause mortality: a systematic review and dose-response meta-analysis of prospective cohort studies.
casein,risk_factor_for,heart disease,40277101,2025,https://pubmed.ncbi.nlm.nih.gov/40277101/,a2 milk: the impact of genetic variation in milk protein on human health.
casein,risk_factor_for,coronary heart disease,40277101,2025,https://pubmed.ncbi.nlm.nih.gov/40277101/,a2 milk: the impact of genetic variation in milk protein on human health.
casein,risk_factor_for,diabetes,40277101,2025,https://pubmed.ncbi.nlm.nih.gov/40277101/,a2 milk: the impact of genetic variation in milk protein on human health.
turmeric,risk_factor_for,heart disease,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,arthritis,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,inflammatory bowel disease,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,obesity,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,migraine,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,coronary heart disease,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,anxiety,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,diabetes,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,metabolic syndrome,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,type 2 diabetes,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
turmeric,risk_factor_for,depression,40918536,2025,https://pubmed.ncbi.nlm.nih.gov/40918536/,potential therapeutic benefits of curcumin in depression or anxiety induced by chronic diseases: a systematic review of mechanistic and clinical evidence.
alcohol,risk_factor_for,heart disease,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
alcohol,risk_factor_for,obesity,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
alcohol,risk_factor_for,coronary heart disease,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
alcohol,risk_factor_for,hypertension,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
alcohol,risk_factor_for,stroke,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
alcohol,risk_factor_for,diabetes,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
alcohol,risk_factor_for,prostate cancer,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
butter,risk_factor_for,heart disease,39027784,2024,https://pubmed.ncbi.nlm.nih.gov/39027784/,the effects of medium-chain triglyceride oil and butter on lipid profiles.
butter,risk_factor_for,coronary heart disease,39027784,2024,https://pubmed.ncbi.nlm.nih.gov/39027784/,the effects of medium-chain triglyceride oil and butter on lipid profiles.
butter,risk_factor_for,heart disease,39699296,2025,https://pubmed.ncbi.nlm.nih.gov/39699296/,technological innovations in margarine production: current trends and future perspectives on trans-fat removal and saturated fat replacement.
butter,risk_factor_for,obesity,39699296,2025,https://pubmed.ncbi.nlm.nih.gov/39699296/,technological innovations in margarine production: current trends and future perspectives on trans-fat removal and saturated fat replacement.
butter,risk_factor_for,coronary heart disease,39699296,2025,https://pubmed.ncbi.nlm.nih.gov/39699296/,technological innovations in margarine production: current trends and future perspectives on trans-fat removal and saturated fat replacement.
butter,risk_factor_for,breast cancer,39699296,2025,https://pubmed.ncbi.nlm.nih.gov/39699296/,technological innovations in margarine production: current trends and future perspectives on trans-fat removal and saturated fat replacement.
butter,risk_factor_for,diabetes,39699296,2025,https://pubmed.ncbi.nlm.nih.gov/39699296/,technological innovations in margarine production: current trends and future perspectives on trans-fat removal and saturated fat replacement.
butter,risk_factor_for,cardiovascular disease,39699296,2025,https://pubmed.ncbi.nlm.nih.gov/39699296/,technological innovations in margarine production: current trends and future perspectives on trans-fat removal and saturated fat replacement.
egg,risk_factor_for,heart disease,41254644,2025,https://pubmed.ncbi.nlm.nih.gov/41254644/,relationship between childhood obesity and cardiovascular and cerebrovascular diseases: a study based on the combination of multiple databases.
egg,risk_factor_for,obesity,41254644,2025,https://pubmed.ncbi.nlm.nih.gov/41254644/,relationship between childhood obesity and cardiovascular and cerebrovascular diseases: a study based on the combination of multiple databases.
egg,risk_factor_for,coronary heart disease,41254644,2025,https://pubmed.ncbi.nlm.nih.gov/41254644/,relationship between childhood obesity and cardiovascular and cerebrovascular diseases: a study based on the combination of multiple databases.
egg,risk_factor_for,stroke,41254644,2025,https://pubmed.ncbi.nlm.nih.gov/41254644/,relationship between childhood obesity and cardiovascular and cerebrovascular diseases: a study based on the combination of multiple databases.
egg,risk_factor_for,cerebrovascular disease,41254644,2025,https://pubmed.ncbi.nlm.nih.gov/41254644/,relationship between childhood obesity and cardiovascular and cerebrovascular diseases: a study based on the combination of multiple databases.
egg,risk_factor_for,cardiovascular disease,41254644,2025,https://pubmed.ncbi.nlm.nih.gov/41254644/,relationship between childhood obesity and cardiovascular and cerebrovascular diseases: a study based on the combination of multiple databases.
orange,risk_factor_for,heart disease,41152125,2025,https://pubmed.ncbi.nlm.nih.gov/41152125/,a novel abca1 mutation in tangier disease associated with severe premature and rapidly progressive neurodegenerative disorder.
orange,risk_factor_for,coronary heart disease,41152125,2025,https://pubmed.ncbi.nlm.nih.gov/41152125/,a novel abca1 mutation in tangier disease associated with severe premature and rapidly progressive neurodegenerative disorder.
carrot,risk_factor_for,heart disease,34203867,2021,https://pubmed.ncbi.nlm.nih.gov/34203867/,relationship between volatile composition and bioactive potential of vegetables and fruits of regular consumption-an integrative approach.
carrot,risk_factor_for,coronary heart disease,34203867,2021,https://pubmed.ncbi.nlm.nih.gov/34203867/,relationship between volatile composition and bioactive potential of vegetables and fruits of regular consumption-an integrative approach.
carrot,risk_factor_for,diabetes,34203867,2021,https://pubmed.ncbi.nlm.nih.gov/34203867/,relationship between volatile composition and bioactive potential of vegetables and fruits of regular consumption-an integrative approach.
lycopene,risk_factor_for,heart disease,39519849,2024,https://pubmed.ncbi.nlm.nih.gov/39519849/,lycopene-loaded emulsions: chitosan versus non-ionic surfactants as stabilizers.
lycopene,risk_factor_for,coronary heart disease,39519849,2024,https://pubmed.ncbi.nlm.nih.gov/39519849/,lycopene-loaded emulsions: chitosan versus non-ionic surfactants as stabilizers.
lycopene,risk_factor_for,colorectal cancer,39519849,2024,https://pubmed.ncbi.nlm.nih.gov/39519849/,lycopene-loaded emulsions: chitosan versus non-ionic surfactants as stabilizers.
lycopene,risk_factor_for,prostate cancer,39519849,2024,https://pubmed.ncbi.nlm.nih.gov/39519849/,lycopene-loaded emulsions: chitosan versus non-ionic surfactants as stabilizers.
potato,risk_factor_for,heart disease,39456354,2024,https://pubmed.ncbi.nlm.nih.gov/39456354/,the effect of fatty acids profile in potato and corn chips on consumer preferences.
potato,risk_factor_for,coronary heart disease,39456354,2024,https://pubmed.ncbi.nlm.nih.gov/39456354/,the effect of fatty acids profile in potato and corn chips on consumer preferences.
potato,risk_factor_for,hypertension,39456354,2024,https://pubmed.ncbi.nlm.nih.gov/39456354/,the effect of fatty acids profile in potato and corn chips on consumer preferences.
potato,risk_factor_for,diabetes,39456354,2024,https://pubmed.ncbi.nlm.nih.gov/39456354/,the effect of fatty acids profile in potato and corn chips on consumer preferences.
potato,risk_factor_for,heart disease,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
potato,risk_factor_for,obesity,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
potato,risk_factor_for,overweight,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
potato,risk_factor_for,cardiovascular diseases,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
potato,risk_factor_for,coronary heart disease,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
potato,risk_factor_for,hypertension,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
potato,risk_factor_for,stroke,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
potato,risk_factor_for,diabetes,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
potato,risk_factor_for,cardiovascular disease,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
potato,risk_factor_for,diabetes mellitus,39527022,2025,https://pubmed.ncbi.nlm.nih.gov/39527022/,"potato intake and the risk of overweight/obesity, hypertension, diabetes, and cardiovascular disease: a systematic review and meta-analysis of observational studies."
whole grain,risk_factor_for,heart disease,39096274,2025,https://pubmed.ncbi.nlm.nih.gov/39096274/,magnesium-rich diet score is inversely associated with incident cardiovascular disease: the atherosclerosis risk in communities (aric) study.
whole grain,risk_factor_for,cardiovascular diseases,39096274,2025,https://pubmed.ncbi.nlm.nih.gov/39096274/,magnesium-rich diet score is inversely associated with incident cardiovascular disease: the atherosclerosis risk in communities (aric) study.
whole grain,risk_factor_for,coronary heart disease,39096274,2025,https://pubmed.ncbi.nlm.nih.gov/39096274/,magnesium-rich diet score is inversely associated with incident cardiovascular disease: the atherosclerosis risk in communities (aric) study.
whole grain,risk_factor_for,stroke,39096274,2025,https://pubmed.ncbi.nlm.nih.gov/39096274/,magnesium-rich diet score is inversely associated with incident cardiovascular disease: the atherosclerosis risk in communities (aric) study.
whole grain,risk_factor_for,blood pressure,39096274,2025,https://pubmed.ncbi.nlm.nih.gov/39096274/,magnesium-rich diet score is inversely associated with incident cardiovascular disease: the atherosclerosis risk in communities (aric) study.
whole grain,risk_factor_for,cardiovascular disease,39096274,2025,https://pubmed.ncbi.nlm.nih.gov/39096274/,magnesium-rich diet score is inversely associated with incident cardiovascular disease: the atherosclerosis risk in communities (aric) study.
trans fatty acids,risk_factor_for,heart disease,34469834,2022,https://pubmed.ncbi.nlm.nih.gov/34469834/,"evaluation of trans fatty acids, carbonyl compounds and bioactive minor components in commercial linseed oils."
trans fatty acids,risk_factor_for,coronary heart disease,34469834,2022,https://pubmed.ncbi.nlm.nih.gov/34469834/,"evaluation of trans fatty acids, carbonyl compounds and bioactive minor components in commercial linseed oils."
trans fatty acids,risk_factor_for,diabetes,34469834,2022,https://pubmed.ncbi.nlm.nih.gov/34469834/,"evaluation of trans fatty acids, carbonyl compounds and bioactive minor components in commercial linseed oils."
folic acid,risk_factor_for,heart disease,41194300,2025,https://pubmed.ncbi.nlm.nih.gov/41194300/,efficacy of folic acid supplementation in the prevention of cardiovascular disease - a systematic review and meta-analysis of randomized controlled trials.
folic acid,risk_factor_for,coronary heart disease,41194300,2025,https://pubmed.ncbi.nlm.nih.gov/41194300/,efficacy of folic acid supplementation in the prevention of cardiovascular disease - a systematic review and meta-analysis of randomized controlled trials.
folic acid,risk_factor_for,stroke,41194300,2025,https://pubmed.ncbi.nlm.nih.gov/41194300/,efficacy of folic acid supplementation in the prevention of cardiovascular disease - a systematic review and meta-analysis of randomized controlled trials.
folic acid,risk_factor_for,cardiovascular disease,41194300,2025,https://pubmed.ncbi.nlm.nih.gov/41194300/,efficacy of folic acid supplementation in the prevention of cardiovascular disease - a systematic review and meta-analysis of randomized controlled trials.
vitamin b12,risk_factor_for,heart disease,41163278,2025,https://pubmed.ncbi.nlm.nih.gov/41163278/,a predictive model for anemia and coronary heart disease based on bidirectional two-sample mendelian randomization and machine learning.
vitamin b12,risk_factor_for,coronary heart disease,41163278,2025,https://pubmed.ncbi.nlm.nih.gov/41163278/,a predictive model for anemia and coronary heart disease based on bidirectional two-sample mendelian randomization and machine learning.
vitamin b12,risk_factor_for,anemia,41163278,2025,https://pubmed.ncbi.nlm.nih.gov/41163278/,a predictive model for anemia and coronary heart disease based on bidirectional two-sample mendelian randomization and machine learning.
cholesterol,risk_factor_for,heart disease,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
cholesterol,risk_factor_for,obesity,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
cholesterol,risk_factor_for,coronary heart disease,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
cholesterol,risk_factor_for,hypertension,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
cholesterol,risk_factor_for,stroke,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
cholesterol,risk_factor_for,diabetes,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
cholesterol,risk_factor_for,prostate cancer,41368261,2025,https://pubmed.ncbi.nlm.nih.gov/41368261/,association of body roundness index with prostate cancer: a population-based cross-sectional study using nhanes data.
sodium,risk_factor_for,heart disease,41371925,2025,https://pubmed.ncbi.nlm.nih.gov/41371925/,association of drinking water salinity with elevated blood pressure and risk of hypertension among coastal and other populations: a systematic review and meta-analysis of observational studies.
sodium,risk_factor_for,coronary heart disease,41371925,2025,https://pubmed.ncbi.nlm.nih.gov/41371925/,association of drinking water salinity with elevated blood pressure and risk of hypertension among coastal and other populations: a systematic review and meta-analysis of observational studies.
sodium,risk_factor_for,hypertension,41371925,2025,https://pubmed.ncbi.nlm.nih.gov/41371925/,association of drinking water salinity with elevated blood pressure and risk of hypertension among coastal and other populations: a systematic review and meta-analysis of observational studies.
sodium,risk_factor_for,stroke,41371925,2025,https://pubmed.ncbi.nlm.nih.gov/41371925/,association of drinking water salinity with elevated blood pressure and risk of hypertension among coastal and other populations: a systematic review and meta-analysis of observational studies.
sodium,risk_factor_for,blood pressure,41371925,2025,https://pubmed.ncbi.nlm.nih.gov/41371925/,association of drinking water salinity with elevated blood pressure and risk of hypertension among coastal and other populations: a systematic review and meta-analysis of observational studies.
vitamin c,risk_factor_for,heart disease,40915180,2025,https://pubmed.ncbi.nlm.nih.gov/40915180/,the hidden connection: systemic immune-inflammation index and its role in asthma.
vitamin c,risk_factor_for,coronary heart disease,40915180,2025,https://pubmed.ncbi.nlm.nih.gov/40915180/,the hidden connection: systemic immune-inflammation index and its role in asthma.
vitamin c,risk_factor_for,diabetes,40915180,2025,https://pubmed.ncbi.nlm.nih.gov/40915180/,the hidden connection: systemic immune-inflammation index and its role in asthma.
vitamin c,risk_factor_for,asthma,40915180,2025,https://pubmed.ncbi.nlm.nih.gov/40915180/,the hidden connection: systemic immune-inflammation index and its role in asthma.
omega-6 fatty acids,risk_factor_for,heart disease,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,cardiovascular diseases,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,coronary heart disease,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,stroke,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,cardiovascular disease,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,prostate cancer,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,neoplasms,40075437,2025,https://pubmed.ncbi.nlm.nih.gov/40075437/,"dietary and circulating omega-6 fatty acids and their impact on cardiovascular disease, cancer risk, and mortality: a global meta-analysis of 150 cohorts and meta-regression."
omega-6 fatty acids,risk_factor_for,heart disease,37724687,2024,https://pubmed.ncbi.nlm.nih.gov/37724687/,application of mendelian randomization in the discovery of risk factors for coronary heart disease from 2009 to 2023: a bibliometric review.
omega-6 fatty acids,risk_factor_for,coronary heart disease,37724687,2024,https://pubmed.ncbi.nlm.nih.gov/37724687/,application of mendelian randomization in the discovery of risk factors for coronary heart disease from 2009 to 2023: a bibliometric review.
turkey,protective_against,heart disease,41087877,2025,https://pubmed.ncbi.nlm.nih.gov/41087877/,development and psychometric testing of symptom severity scale in older patients with cardiometabolic multimorbidity.
turkey,protective_against,cardiovascular diseases,41087877,2025,https://pubmed.ncbi.nlm.nih.gov/41087877/,development and psychometric testing of symptom severity scale in older patients with cardiometabolic multimorbidity.
turkey,protective_against,coronary heart disease,41087877,2025,https://pubmed.ncbi.nlm.nih.gov/41087877/,development and psychometric testing of symptom severity scale in older patients with cardiometabolic multimorbidity.
turkey,protective_against,hypertension,41087877,2025,https://pubmed.ncbi.nlm.nih.gov/41087877/,development and psychometric testing of symptom severity scale in older patients with cardiometabolic multimorbidity.
turkey,protective_against,stroke,41087877,2025,https://pubmed.ncbi.nlm.nih.gov/41087877/,development and psychometric testing of symptom severity scale in older patients with cardiometabolic multimorbidity.
turkey,protective_against,diabetes,41087877,2025,https://pubmed.ncbi.nlm.nih.gov/41087877/,development and psychometric testing of symptom severity scale in older patients with cardiometabolic multimorbidity.
turkey,protective_against,diabetes mellitus,41087877,2025,https://pubmed.ncbi.nlm.nih.gov/41087877/,development and psychometric testing of symptom severity scale in older patients with cardiometabolic multimorbidity.
resveratrol,protective_against,heart disease,41377232,2025,https://pubmed.ncbi.nlm.nih.gov/41377232/,examining the french paradox: a systematic review of red wine consumption and cardiovascular risk.
resveratrol,protective_against,coronary heart disease,41377232,2025,https://pubmed.ncbi.nlm.nih.gov/41377232/,examining the french paradox: a systematic review of red wine consumption and cardiovascular risk.
carrot,protective_against,heart disease,33071338,2020,https://pubmed.ncbi.nlm.nih.gov/33071338/,application of soy protein isolate and cassava starch based film solutions as matrix for ionic encapsulation of carrot powders.
carrot,protective_against,coronary heart disease,33071338,2020,https://pubmed.ncbi.nlm.nih.gov/33071338/,application of soy protein isolate and cassava starch based film solutions as matrix for ionic encapsulation of carrot powders.
flaxseed,protective_against,heart disease,39628469,2024,https://pubmed.ncbi.nlm.nih.gov/39628469/,effects of polyphenol-rich seed foods on lipid and inflammatory markers in patients with coronary heart disease: a systematic review.
flaxseed,protective_against,coronary heart disease,39628469,2024,https://pubmed.ncbi.nlm.nih.gov/39628469/,effects of polyphenol-rich seed foods on lipid and inflammatory markers in patients with coronary heart disease: a systematic review.
cheese,protective_against,heart disease,40462615,2025,https://pubmed.ncbi.nlm.nih.gov/40462615/,food intake influences the incidence of cardiovascular disease by driving cardiac remodeling - evidence from a mendelian randomization.
cheese,protective_against,coronary artery disease,40462615,2025,https://pubmed.ncbi.nlm.nih.gov/40462615/,food intake influences the incidence of cardiovascular disease by driving cardiac remodeling - evidence from a mendelian randomization.
cheese,protective_against,cardiovascular diseases,40462615,2025,https://pubmed.ncbi.nlm.nih.gov/40462615/,food intake influences the incidence of cardiovascular disease by driving cardiac remodeling - evidence from a mendelian randomization.
cheese,protective_against,coronary heart disease,40462615,2025,https://pubmed.ncbi.nlm.nih.gov/40462615/,food intake influences the incidence of cardiovascular disease by driving cardiac remodeling - evidence from a mendelian randomization.
cheese,protective_against,stroke,40462615,2025,https://pubmed.ncbi.nlm.nih.gov/40462615/,food intake influences the incidence of cardiovascular disease by driving cardiac remodeling - evidence from a mendelian randomization.
cheese,protective_against,cardiovascular disease,40462615,2025,https://pubmed.ncbi.nlm.nih.gov/40462615/,food intake influences the incidence of cardiovascular disease by driving cardiac remodeling - evidence from a mendelian randomization.
black tea,protective_against,heart disease,35406003,2022,https://pubmed.ncbi.nlm.nih.gov/35406003/,"the prevention role of theaflavin-3,3'-digallate in angiotensin ii induced pathological cardiac hypertrophy via can-nfat signal pathway."
black tea,protective_against,coronary heart disease,35406003,2022,https://pubmed.ncbi.nlm.nih.gov/35406003/,"the prevention role of theaflavin-3,3'-digallate in angiotensin ii induced pathological cardiac hypertrophy via can-nfat signal pathway."
dark chocolate,protective_against,heart disease,29187388,2017,https://pubmed.ncbi.nlm.nih.gov/29187388/,effects of dark chocolate and almonds on cardiovascular risk factors in overweight and obese individuals: a randomized controlled-feeding trial.
dark chocolate,protective_against,cardiovascular diseases,29187388,2017,https://pubmed.ncbi.nlm.nih.gov/29187388/,effects of dark chocolate and almonds on cardiovascular risk factors in overweight and obese individuals: a randomized controlled-feeding trial.
dark chocolate,protective_against,overweight,29187388,2017,https://pubmed.ncbi.nlm.nih.gov/29187388/,effects of dark chocolate and almonds on cardiovascular risk factors in overweight and obese individuals: a randomized controlled-feeding trial.
dark chocolate,protective_against,obesity,29187388,2017,https://pubmed.ncbi.nlm.nih.gov/29187388/,effects of dark chocolate and almonds on cardiovascular risk factors in overweight and obese individuals: a randomized controlled-feeding trial.
dark chocolate,protective_against,coronary heart disease,29187388,2017,https://pubmed.ncbi.nlm.nih.gov/29187388/,effects of dark chocolate and almonds on cardiovascular risk factors in overweight and obese individuals: a randomized controlled-feeding trial.
red wine,protective_against,heart disease,39450474,2024,https://pubmed.ncbi.nlm.nih.gov/39450474/,red wine consumption and the impact on cardiovascular health: the methodological barriers of observational study design.
red wine,protective_against,cardiovascular diseases,39450474,2024,https://pubmed.ncbi.nlm.nih.gov/39450474/,red wine consumption and the impact on cardiovascular health: the methodological barriers of observational study design.
red wine,protective_against,coronary heart disease,39450474,2024,https://pubmed.ncbi.nlm.nih.gov/39450474/,red wine consumption and the impact on cardiovascular health: the methodological barriers of observational study design.
red wine,protective_against,cardiovascular disease,39450474,2024,https://pubmed.ncbi.nlm.nih.gov/39450474/,red wine consumption and the impact on cardiovascular health: the methodological barriers of observational study design.
canola oil,protective_against,heart disease,24829493,2014,https://pubmed.ncbi.nlm.nih.gov/24829493/,dha-enriched high-oleic acid canola oil improves lipid profile and lowers predicted cardiovascular disease risk in the canola oil multicenter randomized controlled trial.
canola oil,protective_against,obesity,24829493,2014,https://pubmed.ncbi.nlm.nih.gov/24829493/,dha-enriched high-oleic acid canola oil improves lipid profile and lowers predicted cardiovascular disease risk in the canola oil multicenter randomized controlled trial.
canola oil,protective_against,cardiovascular diseases,24829493,2014,https://pubmed.ncbi.nlm.nih.gov/24829493/,dha-enriched high-oleic acid canola oil improves lipid profile and lowers predicted cardiovascular disease risk in the canola oil multicenter randomized controlled trial.
canola oil,protective_against,coronary heart disease,24829493,2014,https://pubmed.ncbi.nlm.nih.gov/24829493/,dha-enriched high-oleic acid canola oil improves lipid profile and lowers predicted cardiovascular disease risk in the canola oil multicenter randomized controlled trial.
canola oil,protective_against,blood pressure,24829493,2014,https://pubmed.ncbi.nlm.nih.gov/24829493/,dha-enriched high-oleic acid canola oil improves lipid profile and lowers predicted cardiovascular disease risk in the canola oil multicenter randomized controlled trial.
canola oil,protective_against,cardiovascular disease,24829493,2014,https://pubmed.ncbi.nlm.nih.gov/24829493/,dha-enriched high-oleic acid canola oil improves lipid profile and lowers predicted cardiovascular disease risk in the canola oil multicenter randomized controlled trial.
canola oil,protective_against,heart disease,23731447,2013,https://pubmed.ncbi.nlm.nih.gov/23731447/,evidence of health benefits of canola oil.
canola oil,protective_against,cardiovascular diseases,23731447,2013,https://pubmed.ncbi.nlm.nih.gov/23731447/,evidence of health benefits of canola oil.
canola oil,protective_against,coronary heart disease,23731447,2013,https://pubmed.ncbi.nlm.nih.gov/23731447/,evidence of health benefits of canola oil.
vitamin b6,protective_against,heart disease,40067440,2025,https://pubmed.ncbi.nlm.nih.gov/40067440/,"protective effects of pyridoxine, amlodipine, and their combination in a vasopressin-induced angina model in rats."
vitamin b6,protective_against,coronary heart disease,40067440,2025,https://pubmed.ncbi.nlm.nih.gov/40067440/,"protective effects of pyridoxine, amlodipine, and their combination in a vasopressin-induced angina model in rats."
vitamin b6,protective_against,cardiovascular disease,40067440,2025,https://pubmed.ncbi.nlm.nih.gov/40067440/,"protective effects of pyridoxine, amlodipine, and their combination in a vasopressin-induced angina model in rats."
